category,part,vendor,sku_or_model,qty,unit_price_usd,subtotal_usd,link,notes,phase
print_filament,Polymaker PETG-CF 1kg,Polymaker,PETG-CF-BLACK-1KG,1,45,45,https://polymaker.com/,For arm covers / Jetson pod / camera gimbal / battery tray,phase-1
print_filament_tpu,SainSmart TPU 95A 500g,SainSmart,TPU-95A-500,1,25,25,https://www.sainsmart.com/,Landing skid feet (energy-absorbing),phase-1
fasteners,M3 + M2.5 stainless screw kit,McMaster-Carr,KIT-M3-M25,1,30,30,https://www.mcmaster.com/,Frame + pod assembly,phase-1
heatsink_fan,25x25mm 5V brushless fan + Jetson heat spreader,Noctua,NF-A2x25,1,25,25,https://noctua.at/,Active cooling for Jetson pod,phase-1
spares_props,APC 11x4.7 props (set of 4 + spares),APC,11x4.7,2,12,24,https://www.apcprop.com/,Replacement props,phase-1
sdr_receiver,RTL-SDR Blog v4 dongle + dipole antenna kit,RTL-SDR Blog,RTLSDR-V4-KIT,1,40,40,https://www.rtl-sdr.com/v4/,Receive ADS-B + rtl_433 weather + Remote ID; first piece of Phase 0.5,phase-0.5
env_pm,Plantower PMS5003 PM2.5/PM10 with Adafruit breadboard adapter,Adafruit,3686,1,25,25,https://www.adafruit.com/product/3686,Direct smoke detection at ground node; pairs with rari1,phase-0.5
env_thp_voc,Bosch BME688 environmental + VOC breakout,Pimoroni,PIM558,1,20,20,https://shop.pimoroni.com/products/bme688-breakout,Temp/RH/pressure/VOC; RH<25% + T>32C is the canonical fire-weather red flag,phase-0.5
env_thp_ref,Sensirion SHT40 precision T+RH breakout,Pimoroni,PIM662,1,10,10,https://shop.pimoroni.com/products/sht40-breakout,Calibration reference for BME688,phase-0.5
mesh_radio,Heltec WiFi LoRa 32 V3 Meshtastic node,Heltec,HT-LORA32-V3,2,25,50,https://heltec.org/product-category/lora/meshtastic/,Two-node Meshtastic mesh; 915 MHz US ISM; license-free,phase-0.5
edge_inference_pi,Raspberry Pi AI HAT+ Hailo-8L 13 TOPS for Pi 5,Raspberry Pi Ltd,AI-HAT-PLUS-13TOP,1,70,70,https://www.raspberrypi.com/products/ai-hat,Edge YOLOv8 fire/smoke on rari2; M.2 over PCIe,phase-0.5
soil_moisture,Vegetronix VH400 capacitive soil moisture probe,Vegetronix,VH400,1,40,40,https://vegetronix.com/soil-moisture-sensor,Live-fuel-moisture proxy for Nelson dead-fuel model,phase-1
gas_sensor,MQ-2 + MQ-7 combustion + CO sensor breakouts,Adafruit,MQ-2-MQ-7,1,10,10,https://www.adafruit.com/,Cheap second-vote on PMS5003 smoke detection,phase-1
anemometer,Davis 6410-clone anemometer + reed switch interface,Adafruit,1733,1,35,35,https://www.adafruit.com/product/1733,Wind speed + direction; #1 fire-spread variable,phase-1
sensor_pod_compute,Raspberry Pi Zero 2 W + 32GB SD + waterproof case,Pimoroni,RPI-ZERO-2W-KIT,1,60,60,https://shop.pimoroni.com/,Edge buffer for sensor pod; MQTT pub via Tailscale or Meshtastic,phase-1
sat_uplink,Swarm M138 satellite IoT modem breakout,SparkFun,WRL-19236,1,150,150,https://nootropicdesign.com/projectlab/2022/07/30/swarm-vs-iridium-for-satellite-iot/,Sat fallback uplink for remote sensor pod; ~$5/mo airtime,phase-1
remote_id_sniffer,nRF52840 USB dongle for Drone Remote ID BLE/WiFi NaN sniff,Nordic,nRF52840-DONGLE,1,30,30,https://www.nordicsemi.com/,WarDragon stack on rari1 for airspace deconfliction,phase-1
solar_pwr_pod,12V 50Ah LiFePO4 + 100W panel + 20A MPPT controller,LiTime,LIT-50AH-100W-KIT,1,250,250,https://www.litime.com/,Off-grid sensor pod power for unattended fire-watch deployment,phase-1
esp32cam_node,Seeed XIAO ESP32-S3 Sense (TinyML camera),Seeed,XIAO-ESP32S3-SENSE,2,14,28,https://www.seeedstudio.com/XIAO-ESP32S3-Sense-p-5639.html,Distributed visual smoke-watch nodes (Phase 1 experiment),phase-1
TOTAL,,,,,,3411,,Pre-tax pre-shipping; Phase-0.5 add = $215 / Phase-1 drone+pod = $3196,total
